HIP,RA,Dec,pmRA,pmDec
21248,68.37730272,-29.7664919,-114.35,-271.56
22957,74.09281008,13.51446582,-77.77,-45.97
23015,74.24841152,33.16609031,3.63,-18.54
23123,74.63709138,1.71401579,-1.59,-7.93
25247,80.98678426,-7.80806458,-13.91,-44.8
25281,81.11923643,-2.39714624,-0.54,-3.21
25336,81.28276276,6.34970223,-8.75,-13.28
27072,86.11579339,-22.44838217,-292.42,-368.45
27204,86.49956252,-32.30643495,3.01,-22.62
27288,86.73891997,-14.82195004,-14.84,-1.18
27366,86.93912023,-9.66960478,1.55,-1.2
29426,92.98498257,14.20876508,-1.59,-20.23
29434,93.01366463,16.13040608,5.57,-16.77
31125,97.96402713,-23.41842159,-2.72,6.45
31416,98.76411763,-22.96479303,13.11,16.52
33302,103.90596197,-20.13649687,51.35,39.75
